batsman,no of balls,batsman_runs,SRR,avg.runs,50's,100's,fours,sixes,30's,value
SD Chitnis,0.026052104,0.02176781,0.461180124,0.332599629,0,0,0.020366599,0.003831418,0.015873016,0.205814756
M Kaif,0.073575723,0.056948109,0.430232558,0.316412503,0,0,0.046843177,0.022988506,0.031746032,0.204779253
RE van der Merwe,0.040939021,0.034960422,0.473214286,0.28489342,0,0,0.026476578,0.030651341,0.031746032,0.203840629
KJ Abbott,0.002004008,0.002858399,0.696428571,0.116465863,0,0,0,0.003831418,0,0.203836885
AB Barath,0.012024048,0.009234828,0.418604651,0.376274328,0,0,0.010183299,0.003831418,0.015873016,0.203791955
K Goel,0.068136273,0.047933157,0.390914525,0.366195551,0,0,0.034623218,0.034482759,0.015873016,0.203473651
KV Sharma,0.081305468,0.069700967,0.476691729,0.250586055,0,0,0.036659878,0.053639847,0.031746032,0.202902417
GH Vihari,0.092184369,0.061565523,0.371517028,0.358356503,0,0,0.046843177,0.003831418,0.047619048,0.202840646
SB Styris,0.038076152,0.02880387,0.418976546,0.352085264,0,0,0.022403259,0.011494253,0.015873016,0.201806819
GR Napier,0.004294303,0.003298153,0.401785714,0.403151066,0,0,0.00203666,0,0,0.201802646
S Vidyut,0.019467506,0.019129288,0.540372671,0.233827618,0,0,0.014256619,0.01532567,0.015873016,0.200928166
S Narwal,0.008016032,0.008135444,0.54679803,0.248609824,0,0,0.012219959,0,0,0.200742325
