match_id,bowler,over,total_runs
27,NM Coulter-Nile,3,15
27,NM Coulter-Nile,5,4
27,P Negi,13,4
27,P Negi,15,7
27,P Negi,18,4
27,S Aravind,3,14
27,S Aravind,5,4
27,S Aravind,16,9
27,S Aravind,20,0
27,S Badree,1,18
27,S Badree,7,3
27,S Badree,9,6
27,S Badree,11,6
27,STR Binny,6,9
27,TS Mills,2,7
27,TS Mills,4,13
27,TS Mills,17,6
27,TS Mills,19,5
27,UT Yadav,2,4
27,UT Yadav,4,2
27,UT Yadav,6,11
27,YS Chahal,8,5
27,YS Chahal,10,8
27,YS Chahal,12,1
