bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
PC Valthaty,26,207,7.961538461538463,4,26,6,0.2307692307692308,0,0.0,0,
PD Collingwood,15,101,6.7333333333333325,4,15,1,0.06666666666666668,0,0.0,0,
PJ Cummins,61,525,8.60655737704918,20,61,21,0.3442622950819672,1,0.016393442622950817,21,
PJ Sangwan,134,1202,8.970149253731341,23,134,50,0.373134328358209,6,0.04477611940298507,55,0.0
PM Sarvesh Kumar,5,42,8.4,0,5,1,0.2,0,0.0,1,
PP Chawla,525,4153,7.9104761904761896,70,525,63,0.12,1,0.0019047619047619048,58,23.0
PP Ojha,318,2399,7.5440251572327055,49,318,69,0.2169811320754717,2,0.006289308176100629,40,
PV Tambe,110,866,7.872727272727272,13,110,19,0.17272727272727273,0,0.0,13,
Pankaj Singh,50,472,9.44,8,50,14,0.28,1,0.02,25,
Parvez Rasool,33,273,8.272727272727273,0,33,3,0.09090909090909093,0,0.0,11,
R Ashwin,489,3391,6.934560327198364,74,489,111,0.22699386503067484,2,0.00408997955010225,136,28.0
R Bhatia,274,2059,7.514598540145985,39,274,32,0.1167883211678832,2,0.007299270072992701,2,
R Dhawan,82,655,7.987804878048781,15,82,31,0.3780487804878049,3,0.03658536585365853,13,
R McLaren,59,558,9.457627118644067,14,59,19,0.3220338983050847,3,0.05084745762711865,25,
R Ninan,6,65,10.833333333333336,1,6,0,0.0,0,0.0,0,
R Parag,14,121,8.642857142857142,0,14,0,0.0,0,0.0,1,2.0
R Rampaul,44,319,7.25,9,44,8,0.18181818181818185,2,0.045454545454545456,26,
R Salam,4,45,11.25,1,4,1,0.25,2,0.5,2,0.0
R Sathish,24,233,9.708333333333334,5,24,5,0.20833333333333331,0,0.0,0,
R Sharma,155,1100,7.096774193548387,26,155,7,0.045161290322580636,0,0.0,15,
R Shukla,20,217,10.85,5,20,7,0.35,3,0.15,9,
R Tewatia,50,361,7.22,4,50,5,0.1,0,0.0,2,8.0
R Vinay Kumar,358,3043,8.5,113,358,50,0.13966480446927373,11,0.030726256983240226,126,2.0
RA Jadeja,420,3221,7.669047619047619,81,420,57,0.1357142857142857,2,0.0047619047619047615,22,27.0
RA Shaikh,1,11,11.0,0,1,0,0.0,0,0.0,1,
RA Tripathi,1,12,12.0,0,1,0,0.0,0,0.0,0,
RD Chahar,54,376,6.962962962962963,2,54,9,0.16666666666666666,0,0.0,7,13.0
RE van der Merwe,74,515,6.95945945945946,16,74,12,0.16216216216216214,0,0.0,6,
RG More,6,63,10.5,3,6,2,0.3333333333333333,0,0.0,1,
RG Sharma,56,449,8.017857142857142,8,56,15,0.26785714285714285,0,0.0,9,
RJ Harris,139,1085,7.8057553956834544,46,139,48,0.34532374100719426,1,0.007194244604316547,71,
RJ Peterson,8,70,8.75,3,8,0,0.0,0,0.0,2,
RN ten Doeschate,13,94,7.230769230769232,1,13,6,0.4615384615384616,0,0.0,0,
RP Singh,299,2417,8.08361204013378,91,299,89,0.2976588628762542,13,0.043478260869565216,167,
RR Bhatkal,2,35,17.5,0,2,0,0.0,0,0.0,1,
RR Bose,2,24,12.0,0,2,0,0.0,0,0.0,2,
RR Powar,71,538,7.577464788732394,4,71,25,0.35211267605633795,1,0.014084507042253518,22,
RR Raje,24,214,8.916666666666666,7,24,8,0.3333333333333333,1,0.04166666666666666,1,
RS Bopara,35,301,8.6,7,35,16,0.4571428571428571,0,0.0,0,
RS Gavaskar,1,8,8.0,1,1,0,0.0,0,0.0,0,
RV Gomez,16,130,8.125,2,16,1,0.0625,0,0.0,0,
RW Price,3,33,11.0,0,3,0,0.0,0,0.0,1,
Rashid Khan,183,1257,6.868852459016392,35,183,15,0.08196721311475409,0,0.0,22,42.0
S Aravind,128,1057,8.2578125,26,128,31,0.2421875,1,0.0078125,71,
S Badree,43,329,7.651162790697675,1,43,10,0.2325581395348837,0,0.0,26,
S Curran,34,336,9.882352941176473,13,34,8,0.2352941176470588,1,0.029411764705882356,10,11.0
S Dhawan,8,72,9.0,0,8,1,0.125,0,0.0,3,
S Dube,2,9,4.5,1,2,1,0.5,0,0.0,0,0.0
S Gopal,99,753,7.606060606060606,9,99,3,0.030303030303030307,1,0.010101010101010102,7,32.0
S Kaul,164,1437,8.762195121951219,55,164,26,0.15853658536585366,4,0.024390243902439025,47,30.0
S Kaushik,34,304,8.941176470588236,4,34,5,0.14705882352941174,1,0.029411764705882356,3,
S Kuggeleijn,8,73,9.125,4,8,2,0.25,0,0.0,1,2.0
S Ladda,23,225,9.782608695652174,6,23,2,0.08695652173913042,1,0.043478260869565216,3,
S Lamichhane,35,303,8.657142857142857,5,35,1,0.028571428571428567,0,0.0,12,14.0
S Mavi,28,288,10.285714285714286,7,28,11,0.3928571428571429,1,0.03571428571428571,13,7.0
